STATEFP10,COUNTYFP10,METRO,BLKGRPCE10,COUNTY_FIPS,TRACTCE10,GEOID10,GEOID10_text,County_ALAND10,frx_land,frx_HH,frx_GasSales,frx_CMV,frx_RR_wtd,frx_Hosp,frx_cropland,frx_undeveloped,frx_med_hi_devel,frx_ag,frx_grass_pasture,frx_forest,frx_IndComm_metro_medhi_devel_outstate,frx_airports,frx_Comm_metro_medhi_devel_outstate,*frx_VKT_w/o_hi_traffic_gasoline,*frx_VKT_w/o_hi_traffic_diesel,frx_SFHHs_in_undeveloped,frx_bldgs_w_boilers,frx_sfh_camp,frx_sfh,Frx_Vehicles,Frx_Boat_Water,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,Frx Commercial/Institutional in METRO / Frx med & hi development,Frx Industrial/Institutional in METRO / Frx med & hi development outstate,Frx construction in METRO / Frx med &hi intensity development outstate,Frx_Low_Density_OpenSpace,Frx_Low_Medium_Density_OpenSpace,(unused_don not copy)_\frx_ag_grass_pasture,frx_IndCommGovInst_metro,frx_nonres_constr_metro,frx_residential_LU_metro,frx_Comm_metro,frx_HHs_in_undeveloped,frx_nonroad_Constr_Mining,frx_water (don't use),Frx Constr,Frx_VKT_All,Frx_Low__OpenSpace_Undeveloped
27,001,OUTSTATE,1,27001,770100,270017701001,270017701001,4718084060,0.1446,0.0639,0.0000,0.0000,0.0076,0.0000,0.0673,0.1460,0.0204,0.0729,0.0611,0.1655,0.0199,0.0060,0.0199,0.079,0.093,0.0705,0.0513,0.045369381,0.066572015,0.06413,0.094,0.020402685,0.020402685,0.020402685,0.020402685,0.144536,0.120325,0.0638,,0.0000,0.0000,,0.0684,0.0000,0.094,0,0.080011876,0.14481276
27,001,OUTSTATE,1,27001,770100,270017701002,270017701002,4718084060,0.0519,0.0414,0.0000,0.0000,0.0265,0.0000,0.1140,0.0511,0.0325,0.1096,0.0615,0.0356,0.0306,0.0000,0.0306,0.101,0.106,0.0481,0.1282,0.031715562,0.046537309,0.04423,0.037,0.032483221,0.032483221,0.032483221,0.032483221,0.0518714,0.0652743,0.0873,,0.0000,0.0000,,0.0433,0.0000,0.037,0,0.101421873,0.051897386
27,001,OUTSTATE,1,27001,770100,270017701003,270017701003,4718084060,0.0622,0.0414,0.0366,0.0000,0.1767,0.0000,0.1627,0.0623,0.0523,0.1553,0.1429,0.0375,0.0323,0.8428,0.0323,0.091,0.081,0.0482,0.0000,0.031285521,0.045906294,0.04634,0.013,0.052348993,0.052348993,0.052348993,0.052348993,0.0621713,0.060719,0.1521,,0.0000,0.0000,,0.0439,0.0000,0.013,0,0.090387312,0.062184813
27,001,OUTSTATE,1,27001,770200,270017702001,270017702001,4718084060,0.1701,0.0447,0.0000,0.0000,0.0548,0.0000,0.0633,0.1721,0.0193,0.0742,0.0859,0.1982,0.0233,0.0462,0.0233,0.096,0.079,0.0524,0.5385,0.033650749,0.049376873,0.05178,0.037,0.019328859,0.019328859,0.019328859,0.019328859,0.169959,0.134216,0.0734,,0.0000,0.0000,,0.0479,0.0000,0.037,0,0.094221449,0.170293068
27,001,OUTSTATE,1,27001,770200,270017702002,270017702002,4718084060,0.0639,0.0329,0.0053,0.0000,0.0636,0.0000,0.1076,0.0641,0.0381,0.1035,0.1063,0.0536,0.0125,0.0000,0.0125,0.050,0.055,0.0364,0.0000,0.023544773,0.034548036,0.03341,0.026,0.038120805,0.038120805,0.038120805,0.038120805,0.0638446,0.0603988,0.1082,,0.0000,0.0000,,0.0350,0.0000,0.026,0,0.05011826,0.063887504
27,001,OUTSTATE,1,27001,770200,270017702003,270017702003,4718084060,0.0069,0.0563,0.2549,0.0000,0.0000,0.0000,0.0038,0.0064,0.0650,0.0037,0.0045,0.0072,0.0856,0.0000,0.0856,0.022,0.012,0.0441,0.1026,0.030747969,0.045117526,0.05492,0.006,0.064966443,0.064966443,0.064966443,0.064966443,0.00696981,0.0151652,0.0041,,0.0000,0.0000,,0.0557,0.0000,0.006,0,0.020746664,0.006811924
27,001,OUTSTATE,1,27001,770300,270017703001,270017703001,4718084060,0.0030,0.0962,0.2118,0.0000,0.1104,0.0000,0.0051,0.0020,0.1842,0.0049,0.0057,0.0012,0.1809,0.0217,0.1809,0.043,0.047,0.0429,0.1026,0.041606517,0.061050639,0.06912,0.000,0.184161074,0.184161074,0.184161074,0.184161074,0.00305487,0.0187818,0.0056,,0.0000,0.0000,,0.0684,0.0000,0.000,0,0.043455088,0.002698348
27,001,OUTSTATE,1,27001,770300,270017703002,270017703002,4718084060,0.0144,0.0547,0.0549,0.0000,0.0015,0.0000,0.0513,0.0140,0.0891,0.0478,0.0493,0.0050,0.0839,0.0000,0.0839,0.053,0.058,0.0599,0.0000,0.040101372,0.058842089,0.04519,0.004,0.089127517,0.089127517,0.089127517,0.089127517,0.0144499,0.0214598,0.0500,,0.0000,0.0000,,0.0562,0.0000,0.004,0,0.053034437,0.014299501
27,001,OUTSTATE,1,27001,770300,270017703003,270017703003,4718084060,0.0058,0.0634,0.0000,0.0000,0.0886,0.0000,0.0058,0.0050,0.1933,0.0058,0.0065,0.0047,0.2042,0.0000,0.2042,0.039,0.043,0.0602,0.0000,0.046014443,0.067518536,0.0633,0.016,0.193288591,0.193288591,0.193288591,0.193288591,0.0059215,0.0196623,0.0066,,0.0000,0.0000,,0.0572,0.0000,0.016,0,0.039400464,0.005557473
27,001,OUTSTATE,1,27001,770400,270017704001,270017704001,4718084060,0.0642,0.0705,0.0000,0.0000,0.2001,0.0000,0.0562,0.0642,0.1321,0.0584,0.0696,0.0658,0.1140,0.0833,0.1140,0.062,0.059,0.0668,0.0256,0.043434194,0.06373245,0.06272,0.052,0.132080537,0.132080537,0.132080537,0.132080537,0.0642559,0.0639499,0.0643,,0.0000,0.0000,,0.0747,0.0000,0.052,0,0.061478809,0.064112205
