"","CAS","substance","obs","obsstddev","airpollutanttype","FID_5kmbuf","BUFF_DIST","summary","mod","MPCAID","site"
"1","7439-92-1","Lead",NA,NA,"airtoxics",47,5,"Minimum",0.00174763488480245,"270036010","270036010"
"2","7439-92-1","Lead",NA,NA,"airtoxics",47,5,"Maximum",0.0525335984457485,"270036010","270036010"
"3","7439-92-1","Lead",NA,NA,"airtoxics",47,5,"Mean",0.00786416166659553,"270036010","270036010"
"4","7439-96-5","Manganese",NA,NA,"airtoxics",47,5,"Minimum",0.0033818021735496,"270036010","270036010"
"5","7439-96-5","Manganese",NA,NA,"airtoxics",47,5,"Maximum",0.0274065540490744,"270036010","270036010"
"6","7439-96-5","Manganese",NA,NA,"airtoxics",47,5,"Mean",0.0107850511561251,"270036010","270036010"
"7","7440-02-0","Nickel",NA,NA,"airtoxics",47,5,"Mean",0.001333257672182,"270036010","270036010"
"8","7440-02-0","Nickel",NA,NA,"airtoxics",47,5,"Minimum",0.000623821702244936,"270036010","270036010"
"9","7440-02-0","Nickel",NA,NA,"airtoxics",47,5,"Maximum",0.00246440944931013,"270036010","270036010"
"10","7440-36-0","Antimony",NA,NA,"airtoxics",47,5,"Minimum",0.000656395303417616,"270036010","270036010"
"11","7440-36-0","Antimony",NA,NA,"airtoxics",47,5,"Maximum",0.0126427709126757,"270036010","270036010"
"12","7440-36-0","Antimony",NA,NA,"airtoxics",47,5,"Mean",0.00218108718677423,"270036010","270036010"
"13","7440-38-2","Arsenic",NA,NA,"airtoxics",47,5,"Maximum",0.000551011838628369,"270036010","270036010"
"14","7440-38-2","Arsenic",NA,NA,"airtoxics",47,5,"Mean",0.000265096968420034,"270036010","270036010"
"15","7440-38-2","Arsenic",NA,NA,"airtoxics",47,5,"Minimum",0.000106509660772506,"270036010","270036010"
"16","7440-39-3","Barium",NA,NA,"airtoxics",47,5,"Mean",0.000184857507620314,"270036010","270036010"
"17","7440-39-3","Barium",NA,NA,"airtoxics",47,5,"Maximum",0.000247385552938795,"270036010","270036010"
"18","7440-39-3","Barium",NA,NA,"airtoxics",47,5,"Minimum",0.000122642918995552,"270036010","270036010"
"19","7440-41-7","Beryllium",NA,NA,"airtoxics",47,5,"Minimum",0.00000633165892502396,"270036010","270036010"
"20","7440-41-7","Beryllium",NA,NA,"airtoxics",47,5,"Maximum",0.0000318361042890665,"270036010","270036010"
"21","7440-41-7","Beryllium",NA,NA,"airtoxics",47,5,"Mean",0.000014550279135679,"270036010","270036010"
"22","7440-43-9","Cadmium",NA,NA,"airtoxics",47,5,"Maximum",0.000174291482724475,"270036010","270036010"
"23","7440-43-9","Cadmium",NA,NA,"airtoxics",47,5,"Minimum",0.0000289914884104361,"270036010","270036010"
"24","7440-43-9","Cadmium",NA,NA,"airtoxics",47,5,"Mean",0.0000763568389623359,"270036010","270036010"
"25","7440-47-3","Chromium",NA,NA,"airtoxics",47,5,"Maximum",0.00208628467976845,"270036010","270036010"
"26","7440-47-3","Chromium",NA,NA,"airtoxics",47,5,"Minimum",0.00033328941624737,"270036010","270036010"
"27","7440-47-3","Chromium",NA,NA,"airtoxics",47,5,"Mean",0.000787736665388445,"270036010","270036010"
"28","7440-48-4","Cobalt",NA,NA,"airtoxics",47,5,"Maximum",0.000742113841801236,"270036010","270036010"
"29","7440-48-4","Cobalt",NA,NA,"airtoxics",47,5,"Mean",0.000266732441342593,"270036010","270036010"
"30","7440-48-4","Cobalt",NA,NA,"airtoxics",47,5,"Minimum",0.00015188438993931,"270036010","270036010"
"31","7440-50-8","Copper",NA,NA,"airtoxics",47,5,"Maximum",0.00294198233895177,"270036010","270036010"
"32","7440-50-8","Copper",NA,NA,"airtoxics",47,5,"Minimum",0.000283894767584677,"270036010","270036010"
"33","7440-50-8","Copper",NA,NA,"airtoxics",47,5,"Mean",0.00075121150090638,"270036010","270036010"
"34","7440-66-6","Zinc",NA,NA,"airtoxics",47,5,"Maximum",0.00580087598564554,"270036010","270036010"
"35","7440-66-6","Zinc",NA,NA,"airtoxics",47,5,"Minimum",0.00226286269328131,"270036010","270036010"
"36","7440-66-6","Zinc",NA,NA,"airtoxics",47,5,"Mean",0.00351524526302891,"270036010","270036010"
"37","7446-09-5","SulfurDioxide",2.35396244685884,1.81793847270456,"criteria",47,5,"Maximum",1.06630293974189,"270036010","270036010"
"38","7446-09-5","SulfurDioxide",2.35396244685884,1.81793847270456,"criteria",47,5,"Minimum",0.405854185747556,"270036010","270036010"
"39","7446-09-5","SulfurDioxide",2.35396244685884,1.81793847270456,"criteria",47,5,"Mean",0.692459320345234,"270036010","270036010"
"40","7782-49-2","Selenium",NA,NA,"airtoxics",47,5,"Mean",0.000414666128668966,"270036010","270036010"
"41","7782-49-2","Selenium",NA,NA,"airtoxics",47,5,"Maximum",0.00062166262641778,"270036010","270036010"
"42","7782-49-2","Selenium",NA,NA,"airtoxics",47,5,"Minimum",0.000317587665775095,"270036010","270036010"
"43","E1647619","PM10",18.9547982477109,10.8902481905901,"criteria",47,5,"Minimum",10.2062886342145,"270036010","270036010"
"44","E1647619","PM10",18.9547982477109,10.8902481905901,"criteria",47,5,"Maximum",36.0512371129063,"270036010","270036010"
"45","E1647619","PM10",18.9547982477109,10.8902481905901,"criteria",47,5,"Mean",19.5201117437511,"270036010","270036010"
"46","E1647635","PM2.5",9.32816347768981,5.65388622725973,"criteria",47,5,"Maximum",23.1653351096365,"270036010","270036010"
"47","E1647635","PM2.5",9.32816347768981,5.65388622725973,"criteria",47,5,"Minimum",10.3254132056614,"270036010","270036010"
"48","E1647635","PM2.5",9.32816347768981,5.65388622725973,"criteria",47,5,"Mean",15.3013709272581,"270036010","270036010"
"49","E17134099","NitrogenDioxide",14.9245624671814,11.5275114613557,"criteria",47,5,"Maximum",94.426998523823,"270036010","270036010"
"50","E17134099","NitrogenDioxide",14.9245624671814,11.5275114613557,"criteria",47,5,"Mean",39.956042583073,"270036010","270036010"
"51","E17134099","NitrogenDioxide",14.9245624671814,11.5275114613557,"criteria",47,5,"Minimum",18.314176525329,"270036010","270036010"
"52","E1647635","PM2.5",6.25623066732558,3.55287107827188,"criteria",36,5,"Maximum",29.877075864723,"270052013","270052013"
"53","E1647635","PM2.5",6.25623066732558,3.55287107827188,"criteria",36,5,"Mean",12.5654803764534,"270052013","270052013"
"54","E1647635","PM2.5",6.25623066732558,3.55287107827188,"criteria",36,5,"Minimum",6.97297969283174,"270052013","270052013"
"55","100-41-4","Ethylbenzene",NA,NA,"airtoxics",42,5,"Minimum",0.0110247166790698,"270213401","270213401"
"56","100-41-4","Ethylbenzene",NA,NA,"airtoxics",42,5,"Mean",0.011423023054384,"270213401","270213401"
"57","100-41-4","Ethylbenzene",NA,NA,"airtoxics",42,5,"Maximum",0.0118459767177512,"270213401","270213401"
"58","100-42-5","Styrene",NA,NA,"airtoxics",42,5,"Mean",0.00233563543926529,"270213401","270213401"
"59","100-42-5","Styrene",NA,NA,"airtoxics",42,5,"Minimum",0.00201126916569138,"270213401","270213401"
"60","100-42-5","Styrene",NA,NA,"airtoxics",42,5,"Maximum",0.00263157355107015,"270213401","270213401"
"61","100-44-7","Benzyl Chloride",NA,NA,"airtoxics",42,5,"Maximum",0.000143656649247759,"270213401","270213401"
"62","100-44-7","Benzyl Chloride",NA,NA,"airtoxics",42,5,"Mean",0.000143608004900119,"270213401","270213401"
"63","100-44-7","Benzyl Chloride",NA,NA,"airtoxics",42,5,"Minimum",0.000143403695646638,"270213401","270213401"
"64","10061-01-5","Cis-1,3-Dichloropropene",NA,NA,"airtoxics",42,5,"Minimum",0.000623082392849028,"270213401","270213401"
"65","10061-01-5","Cis-1,3-Dichloropropene",NA,NA,"airtoxics",42,5,"Mean",0.000623082392849028,"270213401","270213401"
"66","10061-01-5","Cis-1,3-Dichloropropene",NA,NA,"airtoxics",42,5,"Maximum",0.000623082392849028,"270213401","270213401"
"67","106-93-4","Ethylene Dibromide",NA,NA,"airtoxics",42,5,"Mean",0.000189834944039409,"270213401","270213401"
"68","106-93-4","Ethylene Dibromide",NA,NA,"airtoxics",42,5,"Maximum",0.000190684981675182,"270213401","270213401"
"69","106-93-4","Ethylene Dibromide",NA,NA,"airtoxics",42,5,"Minimum",0.000189303546861197,"270213401","270213401"
"70","106-99-0","1,3-Butadiene",NA,NA,"airtoxics",42,5,"Maximum",0.259103199148643,"270213401","270213401"
"71","106-99-0","1,3-Butadiene",NA,NA,"airtoxics",42,5,"Mean",0.0484404079579286,"270213401","270213401"
"72","106-99-0","1,3-Butadiene",NA,NA,"airtoxics",42,5,"Minimum",0.00275095806911496,"270213401","270213401"
"73","107-06-2","Ethylene Dichloride",NA,NA,"airtoxics",42,5,"Minimum",0.00203535837155566,"270213401","270213401"
"74","107-06-2","Ethylene Dichloride",NA,NA,"airtoxics",42,5,"Mean",0.00203556596015227,"270213401","270213401"
"75","107-06-2","Ethylene Dichloride",NA,NA,"airtoxics",42,5,"Maximum",0.00203615481583319,"270213401","270213401"
"76","108-05-4","Vinyl Acetate",0.690410526,0.55760475,"airtoxics",42,5,"Mean",0.0000357808672690825,"270213401","270213401"
"77","108-05-4","Vinyl Acetate",0.690410526,0.55760475,"airtoxics",42,5,"Minimum",0.0000356192139158787,"270213401","270213401"
"78","108-05-4","Vinyl Acetate",0.690410526,0.55760475,"airtoxics",42,5,"Maximum",0.0000359417936120453,"270213401","270213401"
"79","108-88-3","Toluene",0.29814769,0.347302791,"airtoxics",42,5,"Maximum",0.480120443272847,"270213401","270213401"
"80","108-88-3","Toluene",0.29814769,0.347302791,"airtoxics",42,5,"Minimum",0.0983695492629824,"270213401","270213401"
"81","108-88-3","Toluene",0.29814769,0.347302791,"airtoxics",42,5,"Mean",0.175219101085164,"270213401","270213401"
"82","108-90-7","Chlorobenzene",NA,NA,"airtoxics",42,5,"Minimum",0.0000958321619875698,"270213401","270213401"
"83","108-90-7","Chlorobenzene",NA,NA,"airtoxics",42,5,"Mean",0.000137856428515138,"270213401","270213401"
"84","108-90-7","Chlorobenzene",NA,NA,"airtoxics",42,5,"Maximum",0.000181288662490597,"270213401","270213401"
"85","110-54-3","N-Hexane",0.169644208,0.269832939,"airtoxics",42,5,"Minimum",0.117554040633992,"270213401","270213401"
"86","110-54-3","N-Hexane",0.169644208,0.269832939,"airtoxics",42,5,"Maximum",0.132595442728405,"270213401","270213401"
"87","110-54-3","N-Hexane",0.169644208,0.269832939,"airtoxics",42,5,"Mean",0.12207224982395,"270213401","270213401"
"88","120-82-1","1,2,4-Trichlorobenzene",NA,NA,"airtoxics",42,5,"Mean",0.000000260735344648211,"270213401","270213401"
"89","120-82-1","1,2,4-Trichlorobenzene",NA,NA,"airtoxics",42,5,"Minimum",0.000000208532441092757,"270213401","270213401"
"90","120-82-1","1,2,4-Trichlorobenzene",NA,NA,"airtoxics",42,5,"Maximum",0.000000307068013682965,"270213401","270213401"
"91","127-18-4","Tetrachloroethylene",NA,NA,"airtoxics",42,5,"Minimum",0.0000333247813584236,"270213401","270213401"
"92","127-18-4","Tetrachloroethylene",NA,NA,"airtoxics",42,5,"Mean",0.0000467194406718607,"270213401","270213401"
"93","127-18-4","Tetrachloroethylene",NA,NA,"airtoxics",42,5,"Maximum",0.0000609380248590696,"270213401","270213401"
"94","1330-20-7","M/P Xylene",NA,NA,"airtoxics",42,5,"Minimum",0.0240267677221946,"270213401","270213401"
"95","1330-20-7","M/P Xylene",NA,NA,"airtoxics",42,5,"Mean",0.052794520740167,"270213401","270213401"
"96","1330-20-7","M/P Xylene",NA,NA,"airtoxics",42,5,"Maximum",0.179780218499379,"270213401","270213401"
"97","1634-04-4","Methyl Tert-Butyl Ether",NA,NA,"airtoxics",42,5,"Mean",0.000000330981375640249,"270213401","270213401"
"98","1634-04-4","Methyl Tert-Butyl Ether",NA,NA,"airtoxics",42,5,"Minimum",0.000000267227889594324,"270213401","270213401"
"99","1634-04-4","Methyl Tert-Butyl Ether",NA,NA,"airtoxics",42,5,"Maximum",0.000000393589232317026,"270213401","270213401"
"100","50-00-0","Formaldehyde",1.054247551,0.493589408,"airtoxics",42,5,"Minimum",0.622772290016763,"270213401","270213401"
"101","50-00-0","Formaldehyde",1.054247551,0.493589408,"airtoxics",42,5,"Maximum",2.26119874659847,"270213401","270213401"
"102","50-00-0","Formaldehyde",1.054247551,0.493589408,"airtoxics",42,5,"Mean",0.918127983628783,"270213401","270213401"
"103","56-23-5","Carbon Tetrachloride",0.500753617,0.099850026,"airtoxics",42,5,"Maximum",0.540001298728059,"270213401","270213401"
"104","56-23-5","Carbon Tetrachloride",0.500753617,0.099850026,"airtoxics",42,5,"Mean",0.540001064528544,"270213401","270213401"
"105","56-23-5","Carbon Tetrachloride",0.500753617,0.099850026,"airtoxics",42,5,"Minimum",0.540000190227763,"270213401","270213401"
"106","67-64-1","Acetone",1.997898444,0.932458921,"airtoxics",42,5,"Maximum",0.000228034845463381,"270213401","270213401"
"107","67-64-1","Acetone",1.997898444,0.932458921,"airtoxics",42,5,"Minimum",0.000147609268674372,"270213401","270213401"
"108","67-64-1","Acetone",1.997898444,0.932458921,"airtoxics",42,5,"Mean",0.00018687421921556,"270213401","270213401"
"109","67-66-3","Chloroform",NA,0.448623597,"airtoxics",42,5,"Mean",0.0000482518405274107,"270213401","270213401"
"110","67-66-3","Chloroform",NA,0.448623597,"airtoxics",42,5,"Maximum",0.0000644794657643777,"270213401","270213401"
"111","67-66-3","Chloroform",NA,0.448623597,"airtoxics",42,5,"Minimum",0.0000321303058462563,"270213401","270213401"
"112","71-43-2","Benzene",0.278910217,0.100081488,"airtoxics",42,5,"Minimum",0.0129772461850022,"270213401","270213401"
"113","71-43-2","Benzene",0.278910217,0.100081488,"airtoxics",42,5,"Maximum",0.731326906015759,"270213401","270213401"
"114","71-43-2","Benzene",0.278910217,0.100081488,"airtoxics",42,5,"Mean",0.143497027127692,"270213401","270213401"
"115","71-55-6","Methyl Chloroform",NA,0.007714535,"airtoxics",42,5,"Minimum",0.0606964088483637,"270213401","270213401"
"116","71-55-6","Methyl Chloroform",NA,0.007714535,"airtoxics",42,5,"Maximum",0.061451981043333,"270213401","270213401"
"117","71-55-6","Methyl Chloroform",NA,0.007714535,"airtoxics",42,5,"Mean",0.061073359206085,"270213401","270213401"
"118","74-83-9","Bromomethane",NA,NA,"airtoxics",42,5,"Minimum",0.0202920622283576,"270213401","270213401"
"119","74-83-9","Bromomethane",NA,NA,"airtoxics",42,5,"Maximum",0.0205541265667527,"270213401","270213401"
"120","74-83-9","Bromomethane",NA,NA,"airtoxics",42,5,"Mean",0.0204210436692203,"270213401","270213401"
"121","74-87-3","Chloromethane",1.033546383,0.175922487,"airtoxics",42,5,"Mean",1.10447225503795,"270213401","270213401"
"122","74-87-3","Chloromethane",1.033546383,0.175922487,"airtoxics",42,5,"Minimum",1.09006699233491,"270213401","270213401"
"123","74-87-3","Chloromethane",1.033546383,0.175922487,"airtoxics",42,5,"Maximum",1.1711726855154,"270213401","270213401"
"124","7439-92-1","Lead",NA,0.001074802,"airtoxics",42,5,"Minimum",0.00000116525747495544,"270213401","270213401"
"125","7439-92-1","Lead",NA,0.001074802,"airtoxics",42,5,"Maximum",0.0000389026529692416,"270213401","270213401"
"126","7439-92-1","Lead",NA,0.001074802,"airtoxics",42,5,"Mean",0.0000162175401757503,"270213401","270213401"
"127","7439-96-5","Manganese",0.007846902,0.007479827,"airtoxics",42,5,"Maximum",0.0000432762570245116,"270213401","270213401"
"128","7439-96-5","Manganese",0.007846902,0.007479827,"airtoxics",42,5,"Minimum",0.0000160479575451247,"270213401","270213401"
"129","7439-96-5","Manganese",0.007846902,0.007479827,"airtoxics",42,5,"Mean",0.0000210371253182847,"270213401","270213401"
"130","7440-02-0","Nickel",NA,NA,"airtoxics",42,5,"Minimum",0.000000946456618952651,"270213401","270213401"
"131","7440-02-0","Nickel",NA,NA,"airtoxics",42,5,"Mean",0.00000114858242915988,"270213401","270213401"
"132","7440-02-0","Nickel",NA,NA,"airtoxics",42,5,"Maximum",0.00000144366111402838,"270213401","270213401"
"133","7440-36-0","Antimony",NA,NA,"airtoxics",42,5,"Minimum",0.000065813042731656,"270213401","270213401"
"134","7440-36-0","Antimony",NA,NA,"airtoxics",42,5,"Maximum",0.0000658898362108265,"270213401","270213401"
"135","7440-36-0","Antimony",NA,NA,"airtoxics",42,5,"Mean",0.0000658325678680073,"270213401","270213401"
"136","7440-38-2","Arsenic",NA,NA,"airtoxics",42,5,"Maximum",0.00000271915344668416,"270213401","270213401"
"137","7440-38-2","Arsenic",NA,NA,"airtoxics",42,5,"Minimum",0.00000216522419269061,"270213401","270213401"
"138","7440-38-2","Arsenic",NA,NA,"airtoxics",42,5,"Mean",0.0000023724299011951,"270213401","270213401"
"139","7440-41-7","Beryllium",NA,NA,"airtoxics",42,5,"Maximum",0.000000294652454834593,"270213401","270213401"
"140","7440-41-7","Beryllium",NA,NA,"airtoxics",42,5,"Mean",0.000000258852834373376,"270213401","270213401"
"141","7440-41-7","Beryllium",NA,NA,"airtoxics",42,5,"Minimum",0.000000221284915127851,"270213401","270213401"
"142","7440-43-9","Cadmium",NA,NA,"airtoxics",42,5,"Minimum",0.000000117684750175831,"270213401","270213401"
"143","7440-43-9","Cadmium",NA,NA,"airtoxics",42,5,"Mean",0.000000142039510028996,"270213401","270213401"
"144","7440-43-9","Cadmium",NA,NA,"airtoxics",42,5,"Maximum",0.000000196016352508807,"270213401","270213401"
"145","7440-47-3","Chromium",NA,NA,"airtoxics",42,5,"Mean",0.00000124757739299187,"270213401","270213401"
"146","7440-47-3","Chromium",NA,NA,"airtoxics",42,5,"Minimum",0.00000111747653007828,"270213401","270213401"
"147","7440-47-3","Chromium",NA,NA,"airtoxics",42,5,"Maximum",0.00000159543159386115,"270213401","270213401"
"148","7440-48-4","Cobalt",NA,NA,"airtoxics",42,5,"Mean",0.000042166278333047,"270213401","270213401"
"149","7440-48-4","Cobalt",NA,NA,"airtoxics",42,5,"Maximum",0.0000424113214369665,"270213401","270213401"
"150","7440-48-4","Cobalt",NA,NA,"airtoxics",42,5,"Minimum",0.0000419661497040717,"270213401","270213401"
"151","7440-50-8","Copper",0.037929715,0.035251158,"airtoxics",42,5,"Maximum",0.00000284859922509035,"270213401","270213401"
"152","7440-50-8","Copper",0.037929715,0.035251158,"airtoxics",42,5,"Minimum",0.00000181484319133231,"270213401","270213401"
"153","7440-50-8","Copper",0.037929715,0.035251158,"airtoxics",42,5,"Mean",0.00000215518387686001,"270213401","270213401"
"154","7440-66-6","Zinc",NA,0.000646942,"airtoxics",42,5,"Mean",0.000000774217689111689,"270213401","270213401"
"155","7440-66-6","Zinc",NA,0.000646942,"airtoxics",42,5,"Minimum",0.0000000322208578040122,"270213401","270213401"
"156","7440-66-6","Zinc",NA,0.000646942,"airtoxics",42,5,"Maximum",0.00000479790392457404,"270213401","270213401"
"157","75-00-3","Chloroethane",NA,NA,"airtoxics",42,5,"Minimum",0.000000128114073214697,"270213401","270213401"
"158","75-00-3","Chloroethane",NA,NA,"airtoxics",42,5,"Mean",0.000000161800114706952,"270213401","270213401"
"159","75-00-3","Chloroethane",NA,NA,"airtoxics",42,5,"Maximum",0.000000234990140433183,"270213401","270213401"
"160","75-01-4","Vinyl Chloride",NA,NA,"airtoxics",42,5,"Minimum",0.000000167043715748605,"270213401","270213401"
"161","75-01-4","Vinyl Chloride",NA,NA,"airtoxics",42,5,"Maximum",0.000000623126226173554,"270213401","270213401"
"162","75-01-4","Vinyl Chloride",NA,NA,"airtoxics",42,5,"Mean",0.000000406277788994602,"270213401","270213401"
"163","75-07-0","Acetaldehyde",0.6482742,0.265252119,"airtoxics",42,5,"Maximum",1.08856466277114,"270213401","270213401"
"164","75-07-0","Acetaldehyde",0.6482742,0.265252119,"airtoxics",42,5,"Mean",0.87650455707177,"270213401","270213401"
"165","75-07-0","Acetaldehyde",0.6482742,0.265252119,"airtoxics",42,5,"Minimum",0.829407020125588,"270213401","270213401"
"166","75-09-2","Dichloromethane",0.209493043,0.070801332,"airtoxics",42,5,"Minimum",0.0000617857599820582,"270213401","270213401"
"167","75-09-2","Dichloromethane",0.209493043,0.070801332,"airtoxics",42,5,"Maximum",0.000119369871285357,"270213401","270213401"
"168","75-09-2","Dichloromethane",0.209493043,0.070801332,"airtoxics",42,5,"Mean",0.0000904309866651686,"270213401","270213401"
"169","75-15-0","Carbon Disulfide",0.080440638,0.106965559,"airtoxics",42,5,"Mean",0.00546367192853245,"270213401","270213401"
"170","75-15-0","Carbon Disulfide",0.080440638,0.106965559,"airtoxics",42,5,"Maximum",0.00546434551216186,"270213401","270213401"
"171","75-15-0","Carbon Disulfide",0.080440638,0.106965559,"airtoxics",42,5,"Minimum",0.0054622684063514,"270213401","270213401"
"172","75-25-2","Bromoform",NA,NA,"airtoxics",42,5,"Maximum",0.0100004386975172,"270213401","270213401"
"173","75-25-2","Bromoform",NA,NA,"airtoxics",42,5,"Minimum",0.0100002977888209,"270213401","270213401"
"174","75-25-2","Bromoform",NA,NA,"airtoxics",42,5,"Mean",0.0100003738671315,"270213401","270213401"
"175","75-34-3","1,1-Dichloroethane",NA,NA,"airtoxics",42,5,"Minimum",0.000000136693465435656,"270213401","270213401"
"176","75-34-3","1,1-Dichloroethane",NA,NA,"airtoxics",42,5,"Mean",0.000000165892243497723,"270213401","270213401"
"177","75-34-3","1,1-Dichloroethane",NA,NA,"airtoxics",42,5,"Maximum",0.000000235717777741229,"270213401","270213401"
"178","75-35-4","1,1-Dichloroethylene",NA,NA,"airtoxics",42,5,"Minimum",0.000000000638026492749688,"270213401","270213401"
"179","75-35-4","1,1-Dichloroethylene",NA,NA,"airtoxics",42,5,"Maximum",0.000000320568673113641,"270213401","270213401"
"180","75-35-4","1,1-Dichloroethylene",NA,NA,"airtoxics",42,5,"Mean",0.000000153309253916878,"270213401","270213401"
"181","7782-49-2","Selenium",NA,NA,"airtoxics",42,5,"Maximum",0.000201064850737283,"270213401","270213401"
"182","7782-49-2","Selenium",NA,NA,"airtoxics",42,5,"Minimum",0.000200508317161823,"270213401","270213401"
