"","Receptor","CAS","substance","obs","obsstddev","airpollutanttype","Distance","mod","Pollutant_MNRiskS","MPCAID","site"
"1","10019","E1647635","PM2.5",7.94636363636364,4.64994184185249,"criteria",0.000966339774045,13.5282474763518,"Particulate Matter <2.5","271390505","271390505"
"2","14127","106-99-0","1,3-Butadiene",0.092005262,0.046437472,"airtoxics",0.00080476694794,0.26977292824105,"Butadiene 1,3-","271630436","271630436"
"3","14127","108-05-4","Vinyl Acetate",0.593009374,0.317805072,"airtoxics",0.00080476694794,0.00560956312929985,"Vinyl Acetate","271630436","271630436"
"4","14127","108-88-3","Toluene",1.095222212,0.535721373,"airtoxics",0.00080476694794,4.91644113891543,"Toluene","271630436","271630436"
"5","14127","110-54-3","N-Hexane",1.181805865,1.942591463,"airtoxics",0.00080476694794,1.89666412079701,"NHexane","271630436","271630436"
"6","14127","110-82-7","Cyclohexane",0.350879982,0.53625032,"airtoxics",0.00080476694794,0.428672862685615,"Cyclohexane","271630436","271630436"
"7","14127","1330-20-7","M/P Xylene",0.619690503,0.155057355,"airtoxics",0.00080476694794,2.46980339540419,"Xylenes (Mixed Isomers)","271630436","271630436"
"8","14127","50-00-0","Formaldehyde",2.285151964,0.99285394,"airtoxics",0.00080476694794,2.70372527839678,"Formaldehyde","271630436","271630436"
"9","14127","56-23-5","Carbon Tetrachloride",0.484713611,0.070293831,"airtoxics",0.00080476694794,0.540692252639278,"Carbon Tetrachloride","271630436","271630436"
"10","14127","67-64-1","Acetone",2.721763704,0.876844154,"airtoxics",0.00080476694794,0.188193866514773,"Acetone","271630436","271630436"
"11","14127","67-66-3","Chloroform",0.201585955,0.542634325,"airtoxics",0.00080476694794,0.0901283566419676,"Chloroform (Trichloromethane)","271630436","271630436"
"12","14127","71-43-2","Benzene",0.666062037,0.303587334,"airtoxics",0.00080476694794,1.41510008687839,"Benzene","271630436","271630436"
"13","14127","74-87-3","Chloromethane",1.031539615,0.150781063,"airtoxics",0.00080476694794,1.1563830035667,"Methyl Chloride (Chloromethane)","271630436","271630436"
"14","14127","7446-09-5","SulfurDioxide",1.65774958037793,1.76352963328611,"criteria",0.00080476694794,2.71482818466208,"Sulfur Dioxide","271630436","271630436"
"15","14127","75-07-0","Acetaldehyde",1.442690877,0.473370218,"airtoxics",0.00080476694794,1.70010596529836,"Acetaldehyde","271630436","271630436"
"16","14127","75-09-2","Dichloromethane",0.286960545,0.124380532,"airtoxics",0.00080476694794,0.0461424531633057,"Methylene Chloride","271630436","271630436"
"17","14127","75-15-0","Carbon Disulfide",0.043677197,0.010009695,"airtoxics",0.00080476694794,0.00790047935875506,"Carbon Disulfide","271630436","271630436"
"18","14127","78-93-3","Methyl Ethyl Ketone",0.610627556,0.366941855,"airtoxics",0.00080476694794,0.239622337069697,"Methyl Ethyl Ketone (2-Butanone)","271630436","271630436"
"19","14127","95-63-6","1,2,4-Trimethylbenzene",0.253010263,0.104909161,"airtoxics",0.00080476694794,0.676180171502838,"Trimethylbenzene 1,2,4-","271630436","271630436"
"20","16417","106-99-0","1,3-Butadiene",0.092222279,0.069251851,"airtoxics",0.00146391382004,0.139517271719412,"Butadiene 1,3-","270530961","270530961"
"21","16417","108-05-4","Vinyl Acetate",0.873923351,0.710049137,"airtoxics",0.00146391382004,0.00232932935029127,"Vinyl Acetate","270530961","270530961"
"22","16417","108-88-3","Toluene",0.819681451,0.515937622,"airtoxics",0.00146391382004,7.11533250418278,"Toluene","270530961","270530961"
"23","16417","110-54-3","N-Hexane",0.419445273,0.282639022,"airtoxics",0.00146391382004,1.71601747030464,"NHexane","270530961","270530961"
"24","16417","110-82-7","Cyclohexane",0.129540557,0.092822441,"airtoxics",0.00146391382004,0.006999214087705,"Cyclohexane","270530961","270530961"
"25","16417","1330-20-7","M/P Xylene",0.57874286,0.145469858,"airtoxics",0.00146391382004,1.9743526215631,"Xylenes (Mixed Isomers)","270530961","270530961"
"26","16417","50-00-0","Formaldehyde",2.441207037,0.838984068,"airtoxics",0.00146391382004,2.10198143896347,"Formaldehyde","270530961","270530961"
"27","16417","56-23-5","Carbon Tetrachloride",0.490601964,0.075736887,"airtoxics",0.00146391382004,0.540269998547724,"Carbon Tetrachloride","270530961","270530961"
"28","16417","67-64-1","Acetone",2.415735,0.834126128,"airtoxics",0.00146391382004,0.309599327944519,"Acetone","270530961","270530961"
"29","16417","71-43-2","Benzene",0.543894821,0.23167706,"airtoxics",0.00146391382004,0.990605783342366,"Benzene","270530961","270530961"
"30","16417","74-87-3","Chloromethane",1.022457593,0.145962455,"airtoxics",0.00146391382004,1.09068268203297,"Methyl Chloride (Chloromethane)","270530961","270530961"
