COPC Name                                              ,CAS #      ,MW [g/mole],Tm [K] ,Vp [atm]    ,S [mg/L] ,H [atm*m^3/mol],Da [cm^2/s],Dw [cm^2/s],Kow         ,Koc [mL/g] ,Kds [cm^3/g],Kdsw [L/kg],Kdbs [cm^3/g],Ksg [1/year],Fv         ,RCF         ,Br root veg ,Br leafy veg   ,Br forage      ,Bv leafy veg,Bv forage   ,Ba milk [day/kg FW],Ba beef [day/kg FW],Ba pork [day/kg FW],BCF egg    ,BCF chicken,BCF Fish [L/kg FW tissue],BAF fish [L/kg FW],BSAF fish,RfD [mg/kg/day],RfD Information Source,Oral CSF [mg/kg/day]-1,CSF Information Source,RFC [mg/m^3],Inhalation URF [1/(µg/m^3)],Inhalation CSF [1/(mg/kg/day/)],Chemical type,Chemical Subtype,Br Grain   ,Ba egg     ,Ba chicken ,Inhalation RFD,TEF,FACTIVE
Acenaphthene                                           ,83-32-9    ,154,366,3.29E-06,3.6,0.00016,0.001,1.00E-05,7940,4900,3.9,368,196,2.48,1,234,0.213,0.216,0.216,4.97,4.97,0.00512,0.0243,0.0294,0.0732,           ,201,201,         ,0.06,IRIS,                    ,,            ,                           ,                               ,O            ,PAH             ,0.216,0.0102,0.0179,              ,   ,T      
Acenaphthylene,208-96-8   ,152.19,364.9,8.75E-06,3.9,1.11E-04,4.40E-02,7.50E-06,8709,2.76E+03,3.9,207,110.4,4.22,1,32.6,2.18E-02,0.27,0.27,125000,125000,0.00512,0.0243,0.0294,0.0732,           ,549,549,         ,               ,,                    ,,            ,                           ,                               ,O            ,PAH             ,0.216,0.0102,0.0179,              ,   ,T      
Acetaldehyde                                           ,75-07-0    ,44.1,150,1.19,1000000,0.0000789,0.124,0.0000141,0.603,0.61,0.006,0.05,0.02,            ,1,6.46,1060,8.38,8.38,0.000413,0.000413,0.00000634,0.0000301,0.0000364,0.00000478,           ,3.16,                  ,         ,               ,,                    ,,0.009,0.0000022,                               ,O            ,                ,8.38,0.0000127,0.0000222,              ,   ,T      
Acetamide,60-35-5    ,59.1,354,0.00132,2250000,3.45E-08,0.125,1.45E-05,0.055,0.0578,0.000578,0.00433,0.00231,8.43,1,6.39,11100,207,207,0.0736,0.0736,1.91E-06,9.07E-06,1.10E-05,           ,           ,3.16,                  ,         ,               ,,0.07,Cal EPA,            ,2.00E-05,                               ,O            ,                ,207,3.82E-06,6.68E-06,              ,   ,T      
Acetone                                                ,67-64-1    ,58.1,178,0.303,1000000,3.90E-05,0.124,1.14E-05,0.575,0.58,0.087,0.04,0.02,36.1,1,6.46,74.2,8.38,8.38,0.000796,0.000796,6.02E-06,2.86E-05,3.46E-05,4.77E-06,           ,3.16,                  ,         ,0.9,IRIS,                    ,,            ,                           ,                               ,O            ,                ,8.38,1.20E-05,2.11E-05,              ,   ,T      
Acetonitrile                                           ,75-05-8    ,41.1,228,0.12,74000,3.46E-05,0.128,1.66E-05,0.457,0.46,0.005,0.03,0.02,9.03,1,6.43,1390,8.38,8.38,0.000702,0.000702,4.64E-06,2.21E-05,2.67E-05,3.63E-06,           ,3.16,                  ,         ,0.006,old EPA,                    ,,0.06,                           ,                               ,O            ,                ,8.38,9.29E-06,1.63E-05,              ,   ,T      
Acetophenone                                           ,98-86-2    ,120,293,0.000522,6130,1.07E-05,0.06,8.73E-06,38,35.8,0.36,2.68,1.43,            ,1,10.1,28.3,4.73,4.73,0.252,0.252,0.000306,0.00145,0.00176,0.000347,           ,0.475,                  ,         ,0.1,IRIS,                    ,,            ,                           ,                               ,O            ,                ,4.73,0.000612,0.00107,              ,   ,T      
Acrolein                                               ,107-02-8   ,56.1,185,0.355,210000,0.00012,0.105,1.22E-05,0.977,0.98,0.15,0.07,0.04,9.03,1,6.54,43.6,8.38,8.38,0.000455,0.000455,1.07E-05,5.11E-05,6.18E-05,7.78E-06,           ,3.16,                  ,         ,0.0005,IRIS,                    ,,0.0004,                           ,                               ,O            ,                ,8.38,2.15E-05,3.76E-05,              ,   ,T      
Acrylamide,79-06-1    ,71.1,358,9.21E-06,640000,1.02E-09,0.111,1.28E-05,0.214,0.22,0.0022,0.0165,0.00879,8.43,1,6.39,2910,94.5,94.5,10.6,10.6,1.91E-06,9.07E-06,1.10E-05,           ,           ,3.16,                  ,         ,0.002,IRIS,0.5,IRIS,0.006,0.0001,                               ,O            ,                ,94.5,3.82E-06,6.68E-06,              ,   ,T      
Acrylic Acid,79-10-7    ,72.1,287,0.00523,1000000,3.76E-07,0.11,1.27E-05,2.24,2.21,0.0221,0.166,0.0884,14.9,1,6.74,305,24.3,24.3,0.35,0.35,2.54E-05,0.000121,0.000146,           ,           ,3.16,                  ,         ,0.5,IRIS,                    ,,0.001,                           ,                               ,O            ,                ,24.3,5.08E-05,8.88E-05,              ,   ,T      
