"COPC Name","CAS #","MW [g/mole]","Tm [K]","Vp [atm]","S [mg/L]","H [atm*m^3/mol]","Da [cm^2/s]","Dw [cm^2/s]","Kow","Koc [mL/g]","Kds [cm^3/g]","Kdsw [L/kg]","Kdbs [cm^3/g]","Ksg [1/year]","Fv","RCF","Br root veg","Br leafy veg","Br forage","Bv leafy veg","Bv forage","Ba milk [day/kg FW]","Ba beef [day/kg FW]","Ba pork [day/kg FW]","BCF egg","BCF chicken","BCF Fish [L/kg FW tissue]","BAF fish [L/kg FW]","BSAF fish","RfD [mg/kg/day]","RfD Information Source","Oral CSF [mg/kg/day]-1","CSF Information Source","RFC [mg/m^3]","Inhalation URF [1/(µg/m^3)]","Inhalation CSF [1/(mg/kg/day/)]","Chemical type","Chemical Subtype","Br Grain","Ba egg","Ba chicken","Inhalation RFD","TEF","FACTIVE"
"Acenaphthene","83-32-9",154,366,3.29e-06,3.6,0.00016,0.001,1e-05,7940,4900,3.9,"368","196",2.48,1,234,0.213,0.216,0.216,4.97,4.97,0.00512,0.0243,0.0294,0.0732,NA,201,201,NA,0.06,"IRIS",NA,NA,NA,NA,NA,"O","PAH",0.216,0.0102,0.0179,NA,NA,TRUE
"Acenaphthylene","208-96-8",152.19,364.9,8.75e-06,3.9,0.000111,0.044,7.5e-06,8709,2760,3.9,"207","110.4",4.22,1,32.6,0.0218,0.27,0.27,125000,125000,0.00512,0.0243,0.0294,0.0732,NA,549,549,NA,NA,NA,NA,NA,NA,NA,NA,"O","PAH",0.216,0.0102,0.0179,NA,NA,TRUE
"Acetaldehyde","75-07-0",44.1,150,1.19,1e+06,7.89e-05,0.124,1.41e-05,0.603,0.61,0.006,"0.05","0.02",NA,1,6.46,1060,8.38,8.38,0.000413,0.000413,6.34e-06,3.01e-05,3.64e-05,4.78e-06,NA,3.16,NA,NA,NA,NA,NA,NA,0.009,2.2e-06,NA,"O",NA,8.38,1.27e-05,2.22e-05,NA,NA,TRUE
"Acetamide","60-35-5",59.1,354,0.00132,2250000,3.45e-08,0.125,1.45e-05,0.055,0.0578,0.000578,"0.00433","0.00231",8.43,1,6.39,11100,207,207,0.0736,0.0736,1.91e-06,9.07e-06,1.1e-05,NA,NA,3.16,NA,NA,NA,NA,0.07,"Cal EPA",NA,2e-05,NA,"O",NA,207,3.82e-06,6.68e-06,NA,NA,TRUE
"Acetone","67-64-1",58.1,178,0.303,1e+06,3.9e-05,0.124,1.14e-05,0.575,0.58,0.087,"0.04","0.02",36.1,1,6.46,74.2,8.38,8.38,0.000796,0.000796,6.02e-06,2.86e-05,3.46e-05,4.77e-06,NA,3.16,NA,NA,0.9,"IRIS",NA,NA,NA,NA,NA,"O",NA,8.38,1.2e-05,2.11e-05,NA,NA,TRUE
"Acetonitrile","75-05-8",41.1,228,0.12,74000,3.46e-05,0.128,1.66e-05,0.457,0.46,0.005,"0.03","0.02",9.03,1,6.43,1390,8.38,8.38,0.000702,0.000702,4.64e-06,2.21e-05,2.67e-05,3.63e-06,NA,3.16,NA,NA,0.006,"old EPA",NA,NA,0.06,NA,NA,"O",NA,8.38,9.29e-06,1.63e-05,NA,NA,TRUE
"Acetophenone","98-86-2",120,293,0.000522,6130,1.07e-05,0.06,8.73e-06,38,35.8,0.36,"2.68","1.43",NA,1,10.1,28.3,4.73,4.73,0.252,0.252,0.000306,0.00145,0.00176,0.000347,NA,0.475,NA,NA,0.1,"IRIS",NA,NA,NA,NA,NA,"O",NA,4.73,0.000612,0.00107,NA,NA,TRUE
"Acrolein","107-02-8",56.1,185,0.355,210000,0.00012,0.105,1.22e-05,0.977,0.98,0.15,"0.07","0.04",9.03,1,6.54,43.6,8.38,8.38,0.000455,0.000455,1.07e-05,5.11e-05,6.18e-05,7.78e-06,NA,3.16,NA,NA,5e-04,"IRIS",NA,NA,4e-04,NA,NA,"O",NA,8.38,2.15e-05,3.76e-05,NA,NA,TRUE
"Acrylamide","79-06-1",71.1,358,9.21e-06,640000,1.02e-09,0.111,1.28e-05,0.214,0.22,0.0022,"0.0165","0.00879",8.43,1,6.39,2910,94.5,94.5,10.6,10.6,1.91e-06,9.07e-06,1.1e-05,NA,NA,3.16,NA,NA,0.002,"IRIS",0.5,"IRIS",0.006,1e-04,NA,"O",NA,94.5,3.82e-06,6.68e-06,NA,NA,TRUE
"Acrylic Acid","79-10-7",72.1,287,0.00523,1e+06,3.76e-07,0.11,1.27e-05,2.24,2.21,0.0221,"0.166","0.0884",14.9,1,6.74,305,24.3,24.3,0.35,0.35,2.54e-05,0.000121,0.000146,NA,NA,3.16,NA,NA,0.5,"IRIS",NA,NA,0.001,NA,NA,"O",NA,24.3,5.08e-05,8.88e-05,NA,NA,TRUE
