Category SCC,MNRiskS category name,SCC Codes,Subcategories,Surrogate for apportioning,NO2 Frx,Diesel Source,Diesel PM Frx,Source Category,Acronym for Surrogate,2011 Update
APT_TRI,allocated point - TRI sources,20300201,Int Comb /Comm-Inst /Natural Gas /Reciprocating,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30101401,Chem Manuf /Paint Manuf /General Mixing and Handling,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30104501,Chem Manuf /Organic Fertilizer /General: Mixing/Handling,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30106023,Chem Manuf /Pharmaceutical Prod /Fugitive emissions,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30180008,Chem Manuf /General Processes /Pump Seals: Light Liquid/Gas Stream,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30199998,Chem Manuf /Other Not Classified /Specify in Comments Field,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30200801,Food&Agric /Feed Manuf /General **,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30399999,Primary Metals /Other Not Classified,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30501199,Concrete Batching /Other Not Classified,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30502008,Stone Quarrying & Processing /Cut Stone: General,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30800699,Rubber and Plastic Prods /Other Fabricated Plastics /Other Not Classified,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30901098,Electroplating Operations /Other Not Classified,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30903099,Fabricated Metal /Machining Operations /See Comment **,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,30999999,Fabricated Metal /Other Not Classified,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,31300500,Electrical Equip /Electrical Switch Manuf /Electrical Switch Manufacture: Overall Process,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,31303001,Electrical Equip /Manufacturing - General /Circuit Board Manufacturing,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,31306599,Electrical Equip /Semiconductor Manuf /Miscellaneous Operations: General: Specify Material,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,31399999,Electrical Equip /Other Not Classified,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,39999999,Misc Manuf / Indus Processes /Other Not Classified,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,40100205,Degreasing : Trichloroethylene: Open-top Vapor Degreasing,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,40299998,Surface Coating /Miscellaneous /Specify in Comments Field,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,50100406,Waste Disp-Govt /Landfill Dump /Gas Collection System: Other,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_TRI,allocated point - TRI sources,50100410,Waste Disp-Govt /Landfill Dump /Waste Gas Destruction: Waste Gas Flares,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_DryClean,allocated point - dry cleaners,40100101,N/A,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_Cremate,allocated point - crematoria,31502101,N/A,model as individual point sources,0.8,FALSE,1,Allocated-Point,N/A,
APT_POTWS,allocated point - POTWs,50100701,N/A,model as individual volume sources,0.8,FALSE,1,Allocated-Point,N/A,
