SCC Code,Data Category Code,Short Desc,Level 1 Desc,Level 2 Desc,Level 3 Desc,Level 4 Desc,EI Sector
2710020030,BIOGENIC,Agriculture Production - Livestock - Horses and Ponies Composite - Total,Natural Sources,Agriculture Production - Livestock,Horses and Ponies Composite,Total,Agriculture - Livestock Waste
2701420000,BIOGENIC,Biogenic - Agricultural Land - Total,Natural Sources,Biogenic,Agricultural Land,Total,Miscellaneous Non-Industrial NEC
2701423000,BIOGENIC,Biogenic - Agricultural Land/Confined Feeding Operations(Anderson LUC23) - Total,Natural Sources,Biogenic,Agricultural Land/Confined Feeding Operations(Anderson LUC23),Total,Miscellaneous Non-Industrial NEC
2701421000,BIOGENIC,Biogenic - Agricultural Land/Cropland and Pasture (Anderson Land Use Code 21) - Total,Natural Sources,Biogenic,Agricultural Land/Cropland and Pasture (Anderson Land Use Code 21),Total,Miscellaneous Non-Industrial NEC
2701422000,BIOGENIC,"Biogenic - Agricultural Land/Orchards, Groves, Vineyards, Nurseries (AndrsnLUC22) - Total",Natural Sources,Biogenic,"Agricultural Land/Orchards, Groves, Vineyards, Nurseries (AndrsnLUC22)",Total,Miscellaneous Non-Industrial NEC
2701424000,BIOGENIC,Biogenic - Agricultural Land/Other Agricultural Land (Anderson Land Use Code 24) - Total,Natural Sources,Biogenic,Agricultural Land/Other Agricultural Land (Anderson Land Use Code 24),Total,Miscellaneous Non-Industrial NEC
2701470000,BIOGENIC,Biogenic - Barren Land - Total,Natural Sources,Biogenic,Barren Land,Total,Miscellaneous Non-Industrial NEC
2701474000,BIOGENIC,Biogenic - Barren Land/Bare Exposed Rock (Anderson Land Use Code 74) - Total,Natural Sources,Biogenic,Barren Land/Bare Exposed Rock (Anderson Land Use Code 74),Total,Miscellaneous Non-Industrial NEC
2701472000,BIOGENIC,Biogenic - Barren Land/Beaches (Anderson Land Use Code 72) - Total,Natural Sources,Biogenic,Barren Land/Beaches (Anderson Land Use Code 72),Total,Miscellaneous Non-Industrial NEC
2701471000,BIOGENIC,Biogenic - Barren Land/Dry Salt Flats (Anderson Land Use Code 71) - Total,Natural Sources,Biogenic,Barren Land/Dry Salt Flats (Anderson Land Use Code 71),Total,Miscellaneous Non-Industrial NEC
2701477000,BIOGENIC,Biogenic - Barren Land/Mixed Barren Land (Anderson Land Use Code 77) - Total,Natural Sources,Biogenic,Barren Land/Mixed Barren Land (Anderson Land Use Code 77),Total,Miscellaneous Non-Industrial NEC
2701473000,BIOGENIC,Biogenic - Barren Land/Sandy Areas Other than Beaches (Anderson Land Use Code 73) - Total,Natural Sources,Biogenic,Barren Land/Sandy Areas Other than Beaches (Anderson Land Use Code 73),Total,Miscellaneous Non-Industrial NEC
2701475000,BIOGENIC,"Biogenic - Barren Land/Strip Mines, Quarries, and Gravel Pits (Anderson LUC 75) - Total",Natural Sources,Biogenic,"Barren Land/Strip Mines, Quarries, and Gravel Pits (Anderson LUC 75)",Total,Miscellaneous Non-Industrial NEC
2701476000,BIOGENIC,Biogenic - Barren Land/Transitional Areas (Anderson Land Use Code 76) - Total,Natural Sources,Biogenic,Barren Land/Transitional Areas (Anderson Land Use Code 76),Total,Miscellaneous Non-Industrial NEC
2701030000,BIOGENIC,Biogenic - Coniferous Forests - Total,Natural Sources,Biogenic,Coniferous Forests,Total,Miscellaneous Non-Industrial NEC
2701440000,BIOGENIC,Biogenic - Forest Land - Total,Natural Sources,Biogenic,Forest Land,Total,Miscellaneous Non-Industrial NEC
2701441000,BIOGENIC,Biogenic - Forest Land/Deciduous Forest Land (Anderson Land Use Code 41) - Total,Natural Sources,Biogenic,Forest Land/Deciduous Forest Land (Anderson Land Use Code 41),Total,Miscellaneous Non-Industrial NEC
2701442000,BIOGENIC,Biogenic - Forest Land/Evergreen Forest Land (Anderson Land Use Code 42) - Total,Natural Sources,Biogenic,Forest Land/Evergreen Forest Land (Anderson Land Use Code 42),Total,Miscellaneous Non-Industrial NEC
2701443000,BIOGENIC,Biogenic - Forest Land/Mixed Forest Land (Anderson Land Use Code 43) - Total,Natural Sources,Biogenic,Forest Land/Mixed Forest Land (Anderson Land Use Code 43),Total,Miscellaneous Non-Industrial NEC
2701001000,BIOGENIC,Biogenic - Forests - Total,Natural Sources,Biogenic,Forests,Total,Miscellaneous Non-Industrial NEC
2701020000,BIOGENIC,Biogenic - Non-oak Forests - Total,Natural Sources,Biogenic,Non-oak Forests,Total,Miscellaneous Non-Industrial NEC
2701010000,BIOGENIC,Biogenic - Oak Forests - Total,Natural Sources,Biogenic,Oak Forests,Total,Miscellaneous Non-Industrial NEC
2701490000,BIOGENIC,Biogenic - Perennial Snow and Ice - Total,Natural Sources,Biogenic,Perennial Snow and Ice,Total,Miscellaneous Non-Industrial NEC
2701492000,BIOGENIC,Biogenic - Perennial Snow and Ice/Glaciers (Anderson Land Use Code 92) - Total,Natural Sources,Biogenic,Perennial Snow and Ice/Glaciers (Anderson Land Use Code 92),Total,Miscellaneous Non-Industrial NEC
2701491000,BIOGENIC,Biogenic - Perennial Snow and Ice/Perennial Snowfields (Anderson LUC 91) - Total,Natural Sources,Biogenic,Perennial Snow and Ice/Perennial Snowfields (Anderson LUC 91),Total,Miscellaneous Non-Industrial NEC
2701430000,BIOGENIC,Biogenic - Rangeland - Total,Natural Sources,Biogenic,Rangeland,Total,Miscellaneous Non-Industrial NEC
2701431000,BIOGENIC,Biogenic - Rangeland/Herbaceous Rangeland (Anderson Land Use Code 31) - Total,Natural Sources,Biogenic,Rangeland/Herbaceous Rangeland (Anderson Land Use Code 31),Total,Miscellaneous Non-Industrial NEC
2701433000,BIOGENIC,Biogenic - Rangeland/Mixed Rangeland (Anderson Land Use Code 33) - Total,Natural Sources,Biogenic,Rangeland/Mixed Rangeland (Anderson Land Use Code 33),Total,Miscellaneous Non-Industrial NEC
2701432000,BIOGENIC,Biogenic - Rangeland/Shrub and Brush Rangeland (Anderson Land Use Code 32) - Total,Natural Sources,Biogenic,Rangeland/Shrub and Brush Rangeland (Anderson Land Use Code 32),Total,Miscellaneous Non-Industrial NEC
2701400000,BIOGENIC,Biogenic - Soil and Water Land Use - Total,Natural Sources,Biogenic,Soil and Water Land Use,Total,Miscellaneous Non-Industrial NEC
2701480000,BIOGENIC,Biogenic - Tundra - Total,Natural Sources,Biogenic,Tundra,Total,Miscellaneous Non-Industrial NEC
2701483000,BIOGENIC,Biogenic - Tundra/Bare Ground (Anderson Land Use Code 83) - Total,Natural Sources,Biogenic,Tundra/Bare Ground (Anderson Land Use Code 83),Total,Miscellaneous Non-Industrial NEC
2701482000,BIOGENIC,Biogenic - Tundra/Herbaceous Tundra (Anderson Land Use Code 82) - Total,Natural Sources,Biogenic,Tundra/Herbaceous Tundra (Anderson Land Use Code 82),Total,Miscellaneous Non-Industrial NEC
