Source_ID,Source_Name,Source_Type,GEOID,FIPS_Code,Long,Lat,zoneID,County,City,Region
27093X12318011,RUNKE'S FIELD,Airport,270935605003.0,93.0,-94.5714,44.9105,27093,MEEKER,Cedar Mills,Central
27093X12318311,LUX STRIP,Airport,270935606002.0,93.0,-94.7481,44.983,27093,MEEKER,Cosmos,Central
27093X12332311,L & M AERODROME,Airport,270935605001.0,93.0,-94.5792,45.0622,27093,MEEKER,Greenleaf,Central
27093X7139011,Litchfield Muni,Airport,270935602002.0,93.0,-94.507,45.097,27093,MEEKER,Darwin,Central
27095X11025711,MILACA MUNI,Airport,270951704001.0,95.0,-93.6322,45.7725,27095,MILLE LACS,Borgholm,Central
27095X11369411,SWIDERSKI FIELD,Airport,270959703001.0,95.0,-93.6614,46.0333,27095,MILLE LACS,Onamia,Central
27095X12335211,MILLE LACS,Airport,270959702002.0,95.0,-93.6625,46.073,27095,MILLE LACS,South Harbor,Central
27095X12453311,ISLE PRIVATE,Airport,270959701002.0,95.0,-93.4613,46.1597,27095,MILLE LACS,East Side,Central
27095X6962211,Princeton Muni,Airport,270951707002.0,95.0,-93.608,45.56,27095,MILLE LACS,Princeton,Central
27097X11024511,HINES FARM,Airport,270977801002.0,97.0,-94.5931,46.2372,27097,MORRISON,Scandia Valley,Northwest
27097X11058611,MOREY'S,Airport,270977801003.0,97.0,-94.6386,46.3236,27097,MORRISON,Motley,Northwest
27097X11094011,FUSSY,Airport,270977808002.0,97.0,-94.3408,45.7916,27097,MORRISON,Bowlus,Northwest
27097X11424711,RAY S MILLER AAF,Airport,270977802001.0,97.0,-94.3605,46.0912,27097,MORRISON,Cushing,Northwest
27097X12450311,KASTANEK,Airport,270977805001.0,97.0,-93.9894,45.9558,27097,MORRISON,Lakin,Northwest
27097X12453011,NORTH STAR RANCH,Airport,270977804003.0,97.0,-93.8472,46.0705,27097,MORRISON,Leigh,Northwest
27097X7116611,Little Falls/Morrison County-Lindbergh Fld,Airport,270977803002.0,97.0,-94.347,45.95,27097,MORRISON,Little Falls,Northwest
27099X11183911,RADLOFF'S CEDAR VIEW FARMS,Airport,270990013004.0,99.0,-93.0266,43.5459,27099,MOWER,Nevada,Southeast
