Source_ID,Source_Name,Source_Type,GEOID,FIPS_Code,Long,Lat,zoneID,County,City,Region
27003DC015,Best West Suburban Cleaners Inc,Dry cleaners,270531113006.0,53.0,-93.308503,44.905072,27053,HENNEPIN,Minneapolis,Metro (7 County)
27003DC025,"MK Enterprises of MN, LLC",Dry cleaners,270531113005.0,53.0,-93.318611,44.902382,27053,HENNEPIN,Minneapolis,Metro (7 County)
27127DC043,Pantorium Cleaners,Dry cleaners,271277502002.0,127.0,-95.109768,44.541242,27127,REDWOOD,Redwood Falls,Southwest
27109DC059,Natures Best Cleaners Inc,Dry cleaners,271090005002.0,109.0,-92.48419,44.02815,27109,OLMSTED,Rochester,Southeast
27037DC062,Roxy Cleaners,Dry cleaners,271230349003.0,123.0,-93.187519,44.934572,27123,RAMSEY,St. Paul,Metro (7 County)
27053DC073,The Clothes Doctor,Dry cleaners,270530268143.0,53.0,-93.320954,45.107321,27053,HENNEPIN,Brooklyn Park,Metro (7 County)
27053DC076,Suburban Dry Cleaners,Dry cleaners,270530261031.0,53.0,-93.427187,44.921677,27053,HENNEPIN,Minnetonka,Metro (7 County)
27053DC099,Wayzata Home Inc,Dry cleaners,270530272016.0,53.0,-93.542166,44.978113,27053,HENNEPIN,Orono,Metro (7 County)
27003DC0X1,Martinizing of Blaine,Dry cleaners,270030508181.0,3.0,-93.21138,45.19211,27003,ANOKA,Blaine,Metro (7 County)
27015DC0X1,Rite Way Cleaners,Dry cleaners,270159601011.0,15.0,-94.461603,44.317825,27015,BROWN,New Ulm,Southwest
27037DC0X1,KM Cleaners,Dry cleaners,270370607291.0,37.0,-93.166997,44.805817,27037,DAKOTA,Eagan,Metro (7 County)
27047DC0X1,Mary's Dry Cleaning,Dry cleaners,270471806004.0,47.0,-93.362307,43.632573,27047,FREEBORN,Albert Lea,Southeast
27139DC0X1,Martinizing Dry Cleaners,Dry cleaners,271390803011.0,139.0,-93.41535,44.777467,27139,SCOTT,Shakopee,Metro (7 County)
27163DC0X1,Forest Lake Dry Cleaners,Dry cleaners,271630701032.0,163.0,-92.99475,45.279382,27163,WASHINGTON,Forest Lake,Metro (7 County)
27003DC0X2,"Dry Clean Max, Inc",Dry cleaners,270030508074.0,3.0,-93.25563,45.16818,27003,ANOKA,Blaine,Metro (7 County)
27037DC0X2,RR Cleaners - Lakeville,Dry cleaners,270370608203.0,37.0,-93.28349,44.63761,27037,DAKOTA,Lakeville,Metro (7 County)
27037DC0X3,Sak Cleaners Inc,Dry cleaners,270530215054.0,53.0,-93.382564,45.007653,27053,HENNEPIN,New Hope,Metro (7 County)
27037DC102,Minnehaha Cleaning Center,Dry cleaners,271230324002.0,123.0,-93.139221,44.964371,27123,RAMSEY,St. Paul,Metro (7 County)
27053DC107,Hallmark Cleaners,Dry cleaners,270530256011.0,53.0,-93.308671,44.842201,27053,HENNEPIN,Bloomington,Metro (7 County)
27037DC109,Gerke Cleaners,Dry cleaners,270370605054.0,37.0,-93.081902,44.866486,27037,DAKOTA,Inver Grove Heights,Metro (7 County)
27003DC114,Osman Cleaners Inc,Dry cleaners,270531066001.0,53.0,-93.29557,44.957348,27053,HENNEPIN,Minneapolis,Metro (7 County)
