Source_ID,Source_Name,Source_Type,GEOID,FIPS_Code,Long,Lat,zoneID,County,City,Region
gs_1,Lair 66,Gas station,270471803001.0,47.0,-93.489003,43.500898,27047,FREEBORN,Mansfield,Southeast
gs_2,Freeborn County Co-Op Oil,Gas station,270990013004.0,99.0,-92.9446,43.5034136364,27099,MOWER,Nevada,Southeast
gs_3,Ampride,Gas station,270990013003.0,99.0,-92.5061153599,43.5110812868,27099,MOWER,Le Roy,Southeast
gs_4,BP Food Shops,Gas station,270990013003.0,99.0,-92.5089,43.5121,27099,MOWER,Le Roy,Southeast
gs_5,Short Stop,Gas station,271051053003.0,105.0,-96.0182,43.520522449,27105,NOBLES,Grand Prairie,Southwest
gs_6,Sollien Service Ctr,Gas station,270459606004.0,45.0,-91.7712336112,43.5219210645,27045,FILLMORE,Newburg,Southeast
gs_7,Edge's East Side,Gas station,270434605003.0,43.0,-93.708352,43.537149,27043,FARIBAULT,Seely,Southwest
gs_8,Tanks & Tummies,Gas station,270434605003.0,43.0,-93.7081,43.5374,27043,FARIBAULT,Seely,Southwest
gs_9,Round Lake Pit Stop,Gas station,271051053001.0,105.0,-95.4692657601,43.5419108974,27105,NOBLES,Indian Lake,Southwest
gs_10,Rogers Service,Gas station,270459605002.0,45.0,-92.0139,43.5519697987,27045,FILLMORE,Bristol,Southeast
gs_11,Roger's Service,Gas station,270459605003.0,45.0,-92.0099639678,43.556680722,27045,FILLMORE,Harmony,Southeast
gs_12,Kwiktrip Top Tier,Gas station,270459605003.0,45.0,-92.0101,43.5587308897,27045,FILLMORE,Harmony,Southeast
gs_13,Harmony Repair Svc,Gas station,270459605003.0,45.0,-92.0098,43.5606306122,27045,FILLMORE,Harmony,Southeast
gs_14,KWIK Trip,Gas station,270550209002.0,55.0,-91.6372536598,43.5609496673,27055,HOUSTON,Wilmington,Southeast
gs_15,KWIK-N-Ezy,Gas station,271051053001.0,105.0,-95.654,43.5615,27105,NOBLES,Indian Lake,Southwest
gs_16,Freeborn County Co-Op Oil,Gas station,270990013002.0,99.0,-92.7129,43.5654,27099,MOWER,Marshall,Southeast
gs_17,"Shell, Rock A",Gas station,270471810001.0,47.0,-93.2697,43.5655,27047,FREEBORN,Shell Rock,Southeast
gs_18,Nagels Service Station,Gas station,270471810001.0,47.0,-93.278635,43.566904,27047,FREEBORN,Shell Rock,Southeast
gs_19,Amberg-One-Stop,Gas station,270434605003.0,43.0,-93.868,43.5697577778,27043,FARIBAULT,Seely,Southwest
gs_20,Shell Rock Honey Farms,Gas station,270471810001.0,47.0,-93.2834428571,43.5710428571,27047,FREEBORN,Shell Rock,Southeast
gs_21,Larry's 65 Mobil,Gas station,270471810001.0,47.0,-93.284,43.5716,27047,FREEBORN,Shell Rock,Southeast
gs_22,Glenville Shortstop,Gas station,270471810001.0,47.0,-93.2779,43.5734,27047,FREEBORN,Shell Rock,Southeast
gs_23,Shell Rock Gardens,Gas station,270471810001.0,47.0,-93.2788042189,43.5810662489,27047,FREEBORN,Shell Rock,Southeast
gs_24,Blue Line Travel Ctr,Gas station,271051056002.0,105.0,-95.6201,43.6081,27105,NOBLES,Worthington,Southwest
gs_25,Ostrander Corner Store,Gas station,270459603001.0,45.0,-92.4293,43.6136740741,27045,FILLMORE,Bloomfield,Southeast
gs_26,Shell Rock River Watershed,Gas station,270471807002.0,47.0,-93.3286,43.61555,27047,FREEBORN,Freeman,Southeast
gs_27,KWIK Trip,Gas station,270459603001.0,45.0,-92.4293,43.6156,27045,FILLMORE,Bloomfield,Southeast
gs_28,Lakeshore Conoco,Gas station,271051055001.0,105.0,-95.5994,43.6160061224,27105,NOBLES,Worthington,Southwest
gs_29,SUPERAMERICA,Gas station,270634804002.0,63.0,-94.99027875,43.6167044216,27063,JACKSON,Des Moines,Southwest
gs_30,Casey's General Store,Gas station,270634804002.0,63.0,-94.9908461996,43.6167342873,27063,JACKSON,Des Moines,Southwest
gs_31,I-90 BP,Gas station,270634804002.0,63.0,-94.9777,43.62,27063,JACKSON,Des Moines,Southwest
gs_32,Food-N-Fuel,Gas station,271051056003.0,105.0,-95.60540625,43.625075,27105,NOBLES,Worthington,Southwest
gs_33,Ampride,Gas station,270434604004.0,43.0,-94.0938057143,43.6302,27043,FARIBAULT,Blue Earth City,Southwest
gs_34,Casey's General Store,Gas station,271051054002.0,105.0,-95.5860103669,43.6308960918,27105,NOBLES,Worthington,Southwest
gs_35,Bob & Steve's Shell,Gas station,271051054002.0,105.0,-95.5933,43.631,27105,NOBLES,Worthington,Southwest
gs_36,Kraus Oil & Country Store,Gas station,270550205002.0,55.0,-91.506165,43.632624,27055,HOUSTON,Caledonia,Southeast
gs_37,Shell,Gas station,270917905002.0,91.0,-94.46254317,43.6332391265,27091,MARTIN,Fairmont,Southwest
gs_38,KWIK Trip,Gas station,270550205001.0,55.0,-91.5043000608,43.6347751355,27055,HOUSTON,Caledonia,Southeast
gs_39,Murphy USA,Gas station,271051054001.0,105.0,-95.6018018182,43.635,27105,NOBLES,Worthington,Southwest
gs_40,Cicco Gas Station,Gas station,270471806004.0,47.0,-93.3677798851,43.63648659,27047,FREEBORN,Albert Lea,Southeast
gs_41,Hamilton's Restaurant,Gas station,270434604002.0,43.0,-94.1024918367,43.6375102041,27043,FARIBAULT,Blue Earth,Southwest
gs_42,KWIK Trip,Gas station,270434604004.0,43.0,-94.0907,43.6376130435,27043,FARIBAULT,Blue Earth City,Southwest
gs_43,Jerry's Tire & Svc,Gas station,270434604003.0,43.0,-94.0907,43.6387,27043,FARIBAULT,Blue Earth City,Southwest
gs_44,Casey's General Store,Gas station,271051054001.0,105.0,-95.594006,43.639903,27105,NOBLES,Worthington,Southwest
gs_45,Kum & Go,Gas station,271051052003.0,105.0,-95.934318,43.6407,27105,NOBLES,Adrian,Southwest
gs_46,Holiday Stationstores,Gas station,271335703003.0,133.0,-96.2131,43.6424602041,27133,ROCK,Luverne,Southwest
gs_47,Vet's Whoa N' Go Fuel Stop,Gas station,270634804001.0,63.0,-94.9949,43.6425,27063,JACKSON,Jackson,Southwest
gs_48,Stop & Go Food Mart,Gas station,270471809003.0,47.0,-93.3689,43.6429934343,27047,FREEBORN,Albert Lea,Southeast
gs_49,Casey's General Store,Gas station,271051054001.0,105.0,-95.5935,43.6434306122,27105,NOBLES,Worthington,Southwest
gs_50,Expressway,Gas station,271335703003.0,133.0,-96.2131,43.6439,27133,ROCK,Luverne,Southwest
gs_51,KWIK Trip,Gas station,270471808001.0,47.0,-93.3799773194,43.64419425,27047,FREEBORN,Albert Lea,Southeast
gs_52,One Star Food & Fuel,Gas station,270471806002.0,47.0,-93.3673,43.6443,27047,FREEBORN,Albert Lea,Southeast
gs_53,Cenex,Gas station,271051051003.0,105.0,-95.5935,43.6455,27105,NOBLES,Dewald,Southwest
gs_54,Hy-Vee Gas,Gas station,270917905003.0,91.0,-94.4478,43.6459487517,27091,MARTIN,Fairmont,Southwest
gs_55,Norbys 66 Svc Station,Gas station,270471808002.0,47.0,-93.3707353535,43.6478,27047,FREEBORN,Albert Lea,Southeast
gs_56,Korner Mart,Gas station,270471808002.0,47.0,-93.3799405779,43.6479962337,27047,FREEBORN,Albert Lea,Southeast
gs_57,EZ Stop,Gas station,270917906001.0,91.0,-94.4471,43.6498833333,27091,MARTIN,Fairmont,Southwest
gs_58,Shell Food Mart,Gas station,270471806002.0,47.0,-93.362969,43.6501692308,27047,FREEBORN,Albert Lea,Southeast
gs_59,Kum & Go,Gas station,270917903001.0,91.0,-94.7373,43.651,27091,MARTIN,Rolling Green,Southwest
