Source_ID,Source_Name,Source_Type,GEOID,FIPS_Code,Long,Lat,zoneID,County,City,Region
27001PF1721354-64330,Prescribed burn,Prescribed burn,270017702002.0,1.0,-93.54,46.767,27001,AITKIN,Waukenabo,Northeast
27001PF1725809-64330,Prescribed burn,Prescribed burn,270017701003.0,1.0,-93.593,46.591,27001,AITKIN,Spencer,Northeast
27001PF1742810-64328,Prescribed burn,Prescribed burn,270017905011.0,1.0,-93.234,46.232,27001,AITKIN,Seavey,Northeast
27001PF1748896-64327,Prescribed burn,Prescribed burn,270017704002.0,1.0,-93.312,46.673,27001,AITKIN,Shamrock,Northeast
27001PF1749981-64327,Prescribed burn,Prescribed burn,270017905023.0,1.0,-93.581,46.439,27001,AITKIN,Wealthwood,Northeast
27001PF1750918-64327,Prescribed burn,Prescribed burn,270017905011.0,1.0,-93.415,46.402,27001,AITKIN,Seavey,Northeast
27001PF1790528-64320,Prescribed burn,Prescribed burn,270017701001.0,1.0,-93.068,46.718,27001,AITKIN,Cornish,Northeast
27001PF1791483-64320,Prescribed burn,Prescribed burn,270017704003.0,1.0,-93.263,46.366,27001,AITKIN,Millward,Northeast
27001PF1794517-64319,Prescribed burn,Prescribed burn,270017905012.0,1.0,-93.549,46.386,27001,AITKIN,Malmo,Northeast
27003PF1748904-64327,Prescribed burn,Prescribed burn,270030502102.0,3.0,-93.14,45.276,27003,ANOKA,Columbus,Metro (7 County)
27003PF1751475-64327,Prescribed burn,Prescribed burn,270030501092.0,3.0,-93.168,45.41,27003,ANOKA,East Bethel,Metro (7 County)
27003PF1789502-64320,Prescribed burn,Prescribed burn,270030502162.0,3.0,-93.21,45.213,27003,ANOKA,Ham Lake,Metro (7 County)
27003PF1796165-64319,Prescribed burn,Prescribed burn,270030501071.0,3.0,-93.482,45.413,27003,ANOKA,St. Francis,Metro (7 County)
27003WF1403913172210,Prescribed burn,Prescribed burn,270030502102.0,3.0,-93.083,45.281,27003,ANOKA,Columbus,Metro (7 County)
27005PF1447276-64328,Prescribed burn,Prescribed burn,270054509001.0,5.0,-96.143,46.946,27005,BECKER,Atlanta,Northwest
27005PF1447277-64328,Prescribed burn,Prescribed burn,270059400002.0,5.0,-95.977,47.015,27005,BECKER,Riceville,Northwest
27005PF1447313-64327,Prescribed burn,Prescribed burn,270059400003.0,5.0,-95.69,46.96,27005,BECKER,Sugar Bush,Northwest
27005PF1447315-64327,Prescribed burn,Prescribed burn,270054503001.0,5.0,-95.69,46.95,27005,BECKER,Holmesville,Northwest
27005PF1447316-64327,Prescribed burn,Prescribed burn,270054502002.0,5.0,-95.654,46.956,27005,BECKER,Height of Land,Northwest
27005PF1447340-64327,Prescribed burn,Prescribed burn,270054504001.0,5.0,-95.908,46.91,27005,BECKER,Richwood,Northwest
27005PF1447342-64327,Prescribed burn,Prescribed burn,270054508001.0,5.0,-96.024,46.907,27005,BECKER,Audubon,Northwest
27005PF1447350-64327,Prescribed burn,Prescribed burn,270054508001.0,5.0,-95.978,46.904,27005,BECKER,Audubon,Northwest
27005PF1447359-64327,Prescribed burn,Prescribed burn,270054509004.0,5.0,-96.138,46.742,27005,BECKER,Cormorant,Northwest
27005PF1447378-64327,Prescribed burn,Prescribed burn,270059400002.0,5.0,-95.978,46.98,27005,BECKER,Riceville,Northwest
27005PF1447415-64327,Prescribed burn,Prescribed burn,270059400002.0,5.0,-95.85,47.04,27005,BECKER,Riceville,Northwest
27005PF1447427-64327,Prescribed burn,Prescribed burn,270059400002.0,5.0,-95.968,47.057,27005,BECKER,Riceville,Northwest
27005PF1447450-64326,Prescribed burn,Prescribed burn,270054509004.0,5.0,-96.138,46.722,27005,BECKER,Cormorant,Northwest
27005PF1447467-64323,Prescribed burn,Prescribed burn,270054503001.0,5.0,-95.69,46.95,27005,BECKER,Holmesville,Northwest
27005PF1447470-64322,Prescribed burn,Prescribed burn,270059400001.0,5.0,-95.6,46.98,27005,BECKER,Round Lake,Northwest
27005PF1447488-64321,Prescribed burn,Prescribed burn,270054508001.0,5.0,-95.951,46.869,27005,BECKER,Audubon,Northwest
27005PF1447539-64328,Prescribed burn,Prescribed burn,270054501001.0,5.0,-95.384,46.97,27005,BECKER,Wolf Lake,Northwest
27005PF1447550-64328,Prescribed burn,Prescribed burn,270059400003.0,5.0,-95.844,47.096,27005,BECKER,Sugar Bush,Northwest
27005PF1447565-64328,Prescribed burn,Prescribed burn,270059400003.0,5.0,-95.844,47.096,27005,BECKER,Sugar Bush,Northwest
27005PF1447578-64328,Prescribed burn,Prescribed burn,270054502002.0,5.0,-95.637,46.868,27005,BECKER,Height of Land,Northwest
27005PF1447604-64327,Prescribed burn,Prescribed burn,270059400003.0,5.0,-95.844,47.096,27005,BECKER,Sugar Bush,Northwest
27005PF1447613-64327,Prescribed burn,Prescribed burn,270054509001.0,5.0,-96.162,46.999,27005,BECKER,Atlanta,Northwest
27005PF1447640-64327,Prescribed burn,Prescribed burn,270059400004.0,5.0,-95.859,47.071,27005,BECKER,White Earth,Northwest
27005PF1447650-64327,Prescribed burn,Prescribed burn,270054502002.0,5.0,-95.61,46.96,27005,BECKER,Height of Land,Northwest
27005PF1447662-64327,Prescribed burn,Prescribed burn,270054509002.0,5.0,-96.06,46.72,27005,BECKER,Cormorant,Northwest
27005PF1447699-64327,Prescribed burn,Prescribed burn,270054503001.0,5.0,-95.732,46.889,27005,BECKER,Holmesville,Northwest
27005PF1447739-64327,Prescribed burn,Prescribed burn,270059400002.0,5.0,-95.86,47.064,27005,BECKER,Riceville,Northwest
27005PF1447742-64327,Prescribed burn,Prescribed burn,270059400001.0,5.0,-95.56,47.05,27005,BECKER,Round Lake,Northwest
27005PF1447746-64327,Prescribed burn,Prescribed burn,270059400001.0,5.0,-95.55,47.08,27005,BECKER,Round Lake,Northwest
27005PF1447805-64320,Prescribed burn,Prescribed burn,270054504002.0,5.0,-95.847,46.855,27005,BECKER,Detroit,Northwest
27005PF1702831-64332,Prescribed burn,Prescribed burn,270054508001.0,5.0,-95.971,46.816,27005,BECKER,Audubon,Northwest
27005PF1703596-64332,Prescribed burn,Prescribed burn,270054501001.0,5.0,-95.39,46.879,27005,BECKER,Wolf Lake,Northwest
27005PF1731844-64330,Prescribed burn,Prescribed burn,270054501002.0,5.0,-95.212,46.733,27005,BECKER,Runeberg,Northwest
27005PF1742747-64328,Prescribed burn,Prescribed burn,270054508001.0,5.0,-95.951,46.845,27005,BECKER,Audubon,Northwest
27005PF1747095-64328,Prescribed burn,Prescribed burn,270059400002.0,5.0,-95.986,46.988,27005,BECKER,Riceville,Northwest
27005PF1751436-64327,Prescribed burn,Prescribed burn,270054503001.0,5.0,-95.675,46.923,27005,BECKER,Holmesville,Northwest
27005PF1751519-64327,Prescribed burn,Prescribed burn,270054504002.0,5.0,-95.846,46.866,27005,BECKER,Detroit,Northwest
27005PF1752518-64327,Prescribed burn,Prescribed burn,270054509001.0,5.0,-96.131,47.079,27005,BECKER,Atlanta,Northwest
27005PF1769175-64322,Prescribed burn,Prescribed burn,270054507002.0,5.0,-95.78,46.741,27005,BECKER,Lake View,Northwest
27005PF1774440-64322,Prescribed burn,Prescribed burn,270059400002.0,5.0,-96.018,47.141,27005,BECKER,Riceville,Northwest
27005PF1778508-64321,Prescribed burn,Prescribed burn,270054508001.0,5.0,-95.974,46.887,27005,BECKER,Audubon,Northwest
27005PF1783221-64320,Prescribed burn,Prescribed burn,270059400004.0,5.0,-95.893,47.101,27005,BECKER,White Earth,Northwest
27005PF1788678-64320,Prescribed burn,Prescribed burn,270054501003.0,5.0,-95.257,46.968,27005,BECKER,Two Inlets,Northwest
27005PF1788708-64320,Prescribed burn,Prescribed burn,270054502001.0,5.0,-95.539,46.866,27005,BECKER,Toad Lake,Northwest
27005PF1790711-64320,Prescribed burn,Prescribed burn,270054501001.0,5.0,-95.308,46.932,27005,BECKER,Wolf Lake,Northwest
27005PF1791656-64320,Prescribed burn,Prescribed burn,270059400002.0,5.0,-95.985,47.078,27005,BECKER,Riceville,Northwest
27005PF1791716-64320,Prescribed burn,Prescribed burn,270059400004.0,5.0,-95.771,47.131,27005,BECKER,White Earth,Northwest
27005PF1794486-64319,Prescribed burn,Prescribed burn,270059400003.0,5.0,-95.799,47.053,27005,BECKER,Sugar Bush,Northwest
27005PF1797323-64319,Prescribed burn,Prescribed burn,270059400002.0,5.0,-95.95,47.025,27005,BECKER,Riceville,Northwest
27005PF1797749-64319,Prescribed burn,Prescribed burn,270059400003.0,5.0,-95.683,46.963,27005,BECKER,Sugar Bush,Northwest
27005PF1797866-64319,Prescribed burn,Prescribed burn,270054509004.0,5.0,-96.126,46.759,27005,BECKER,Cormorant,Northwest
27005PF1798576-64319,Prescribed burn,Prescribed burn,270059400002.0,5.0,-96.033,47.052,27005,BECKER,Riceville,Northwest
27007PF1447557-64328,Prescribed burn,Prescribed burn,270079400012.0,7.0,-95.379,48.138,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1447766-64323,Prescribed burn,Prescribed burn,270079400013.0,7.0,-94.945,48.052,27007,BELTRAMI,Lower Red Lake,Northwest
27007PF1726228-64330,Prescribed burn,Prescribed burn,270074503001.0,7.0,-94.843,47.604,27007,BELTRAMI,Turtle Lake,Northwest
27007PF1729924-64330,Prescribed burn,Prescribed burn,270074503004.0,7.0,-94.446,47.658,27007,BELTRAMI,Taylor,Northwest
27007PF1732647-64330,Prescribed burn,Prescribed burn,270074501002.0,7.0,-95.142,47.509,27007,BELTRAMI,Jones,Northwest
27007PF1734756-64328,Prescribed burn,Prescribed burn,270074505001.0,7.0,-94.426,48.349,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1738855-64328,Prescribed burn,Prescribed burn,270074503004.0,7.0,-94.431,47.657,27007,BELTRAMI,Taylor,Northwest
27007PF1748276-64328,Prescribed burn,Prescribed burn,270079400012.0,7.0,-95.467,48.088,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1748279-64328,Prescribed burn,Prescribed burn,270079400012.0,7.0,-95.577,48.137,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1748285-64328,Prescribed burn,Prescribed burn,270079400012.0,7.0,-95.341,48.118,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1748745-64327,Prescribed burn,Prescribed burn,270079400012.0,7.0,-95.454,48.157,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1748750-64327,Prescribed burn,Prescribed burn,270074504001.0,7.0,-95.167,47.692,27007,BELTRAMI,Maple Ridge,Northwest
27007PF1751432-64327,Prescribed burn,Prescribed burn,270074505001.0,7.0,-95.551,48.445,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1755185-64326,Prescribed burn,Prescribed burn,270079400012.0,7.0,-95.185,47.834,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1755186-64326,Prescribed burn,Prescribed burn,270079400012.0,7.0,-95.301,48.094,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1771210-64322,Prescribed burn,Prescribed burn,270079400011.0,7.0,-94.897,47.859,27007,BELTRAMI,Lower Red Lake,Northwest
27007PF1773168-64322,Prescribed burn,Prescribed burn,270079400011.0,7.0,-94.908,47.88,27007,BELTRAMI,Lower Red Lake,Northwest
27007PF1774600-64321,Prescribed burn,Prescribed burn,270074504001.0,7.0,-94.946,47.683,27007,BELTRAMI,Maple Ridge,Northwest
27007PF1784395-64320,Prescribed burn,Prescribed burn,270079400012.0,7.0,-95.037,47.831,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1785001-64320,Prescribed burn,Prescribed burn,270079400013.0,7.0,-94.891,48.049,27007,BELTRAMI,Lower Red Lake,Northwest
27007PF1786906-64320,Prescribed burn,Prescribed burn,270074501002.0,7.0,-95.084,47.504,27007,BELTRAMI,Jones,Northwest
27007PF1788679-64320,Prescribed burn,Prescribed burn,270074503002.0,7.0,-94.928,47.626,27007,BELTRAMI,Buzzle,Northwest
27007PF1789974-64320,Prescribed burn,Prescribed burn,270074505001.0,7.0,-94.491,48.104,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1789978-64320,Prescribed burn,Prescribed burn,270074505001.0,7.0,-94.434,48.089,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1790187-64320,Prescribed burn,Prescribed burn,270074504002.0,7.0,-94.882,47.788,27007,BELTRAMI,Hagali,Northwest
27007PF1790658-64320,Prescribed burn,Prescribed burn,270074505002.0,7.0,-94.571,47.85,27007,BELTRAMI,Cormant,Northwest
27007PF1797529-64319,Prescribed burn,Prescribed burn,270079400012.0,7.0,-95.173,47.823,27007,BELTRAMI,Upper Red Lake,Northwest
27007PF1797532-64319,Prescribed burn,Prescribed burn,270079400011.0,7.0,-94.922,47.811,27007,BELTRAMI,Lower Red Lake,Northwest
